Name,Matches,Runs,Bat_Average
Aamer Hameed,2(1977-1978),0,N/A
Aamer Hanif,5(1993-1995),89,44.5
Aamer Malik,24(1988-1994),556,25.27
Aamer Yamin,4(2015-),95,95
Aamir Nazir,9(1993-1995),13,13
Aamir Sohail,156(1990-2000),4780,31.87
Aaqib Javed,163(1988-1998),267,10.68
Aarif Sheikh,6(2018-),94,18.8
Varun R Aaron,9(2011-2014),8,8
Josephat Ababu,9(1999-2006),29,9.67
Kyle J Abbott,28(2013-),76,8.44
Sean A Abbott,1(2014-2014),3,3
Abdul Jabbar,2(2007-2007),59,29.5
Abdul Qadir,104(1983-1993),641,15.26
Abdul Razzaq,265(1996-2011),5080,29.71
Abdul Rehman,1(2004-2004),1,1
Abdul Shakoor,3(2015-),54,18
Abdullah Mazari,2(2010-2010),3,3
Abdur Rauf,4(2008-2008),0,N/A
Abdur Razzak,153(2004-2014),779,13.67
Abdur Rehman,31(2006-2014),142,8.35
Syed Abid Ali,5(1974-1975),93,31
Shafiek Abrahams,1(2000-2000),16,N/A
Abu Hider,2(2018-),1,1
Abul Hasan,7(2012-),11,3.67
Andre R Adams,42(2001-2007),419,17.46
Christopher J Adams,5(1998-2000),71,17.75
James C Adams,127(1992-2001),2204,28.62
Paul R Adams,24(1996-2003),66,16.5
Adeel Raja,21(2002-2011),28,2.8
Adnan Akmal,5(2011-2012),62,20.67
Adnan Mufti,18(2017-),330,27.5
Afsar Zazai,17(2014-),264,17.6
Aftab Ahmed,85(2004-2010),1954,24.73
Aftab Alam,20(2010-),61,15.25
Afzaal Haider,4(2004-2008),22,7.33
Rageg G Aga,12(2004-2014),150,16.67
Ashton C Agar,9(2015-),144,20.57
Ajit B Agarkar,191(1998-2007),1269,14.59
Jonathan P Agnew,3(1985-1985),2,N/A
Franklyn S Ahangama,1(1985-1985),0,N/A
Khaleel Khursheed Ahmed,8(2018-),9,4.5
Ahmed Kamal,1(1999-1999),11,11
Ahmed Raza,25(2014-),232,12.89
Ahmed Shah,1(2009-2009),2,2
Ahmed Shehzad,81(2009-),2605,32.56
Ahsan Malik,12(2011-2014),14,N/A
Aijaz Ali,2(2004-2004),5,2.5
Dipendra Singh Airee,6(2018-),108,18
Aizaz Cheema,14(2011-2012),26,8.67
Aizaz Khan,19(2014-),260,20
Ajmal Shahzad,11(2010-2011),39,6.5
Akhtar Sarfraz,4(1997-1998),66,16.5
Akram Khan,44(1988-2003),976,23.24
Akram Raza,49(1989-1995),193,17.55
Al Sahariar Rokon,29(1999-2003),374,13.36
Alam Talukdar,2(1990-1990),7,N/A
Al-Amin Hossain,14(2014-2015),4,2
Alawi Shukri,1(2008-2008),1,1
Terence Michael Alderman,65(1981-1991),32,2.67
Graeme W Aldridge,2(2011-2011),0,N/A
Rohan P Alexander,2(2004-2004),34,17
Moeen Munir Ali,92(2014-),1645,26.11
Rajab W Ali,9(1996-1997),7,N/A
Ali Asad,2(2004-2004),21,21
Duncan I Allan,5(2011-2013),71,14.2
Fabian Anthony Allen,4(2018-),25,6.25
Mark W Alleyne,10(1999-2000),151,21.57
Michael J D Allingham,3(1999-1999),11,3.67
Geoffrey I Allott,31(1997-2000),17,3.4
Paul J W Allott,13(1982-1985),15,3.75
Alok Kapali,69(2002-2011),1235,19.6
Kaushik N Amalean,8(1986-1988),15,7.5
Mohammad Aman Ali,1(2008-2008),0,0
Mohinder Amarnath,85(1975-1989),1924,30.54
Surinder Amarnath,3(1978-1978),100,33.33
Sunil Walford Ambris,1(2017-),38,N/A
Curtly E L Ambrose,176(1988-2000),639,10.65
Timothy R Ambrose,5(2008-2008),10,2.5
Merenna K D I Amerasinghe,8(2007-2008),6,N/A
Charles J A Amini,6(2014-),121,24.2
Christopher R Amini,2(2014-2014),3,N/A
Aminul Islam,39(1988-2002),794,23.35
Aminul Islam Jnr,1(1999-1999),1,N/A
Amir Hamza,31(2012-),23,3.29
Amir Hayat,9(2018-),31,10.33
Dennis L Amiss,18(1972-1977),859,47.72
Amjad Ali,17(2008-2015),520,30.59
Amjad Javed,15(2008-),239,19.92
Hashim Mahomed Amla,174(2008-),7910,49.75
Praveen K Amre,37(1991-1994),513,20.52
Anamul Haque,37(2012-),1038,30.53
Corey J Anderson,49(2013-),1109,27.73
John Anderson,8(2014-),151,18.88
James M Anderson,194(2002-2015),273,7.58
Robert W Anderson,2(1976-1978),16,16
Joseph O Angara,17(1997-2003),23,3.83
Jo Angel,3(1994-1995),0,0
Anisur Rehman,2(1995-1998),2,1
Salil A Ankola,20(1989-1997),34,3.78
Ankur Vasishta,4(2014-2014),36,12
Zafar S Ansari,1(2015-2015),0,N/A
Anshuman Rath,18(2014-),828,51.75
Hamish A G Anthony,3(1995-1995),23,7.67
Sangarange D Anurasiri,45(1986-1994),62,10.33
Anwar Ali,22(2013-2016),321,29.18
Anwar Hossain,1(2002-2002),42,42
Anwar Hossain Monir,1(2002-2002),0,N/A
Gerald J A F Aponso,5(1996-1996),120,30
M Amila Aponso,9(2016-),10,3.33
Arafat Sunny,16(2014-2015),48,12
Ariful Haque,1(2018-),0,N/A
Geoffrey G Arnold,14(1972-1975),48,16
Russel P Arnold,180(1997-2007),3950,35.27
Kevin J Arnott,13(1987-1993),238,23.8
Arshad Ali,4(2004-2008),54,13.5
Arshad Ayub,32(1987-1990),116,11.6
Arshad Khan,58(1993-2006),133,12.09
Arshad Laeeq,6(1994-1996),101,20.2
Arshad Pervez,2(1978-1978),11,5.5
Keith L T Arthurton,105(1988-1999),1904,26.08
Bharathi Arun,4(1986-1987),21,10.5
Arun Lal,13(1982-1989),122,9.38
Asad Ali,4(2013-2013),13,6.5
Asad Shafiq,60(2010-),1336,24.74
Mohammad Asghar Afghan,96(2009-),1802,21.71
Asghar Ali,2(2004-2004),14,7
Ashfaq Ahmed,3(1994-1994),0,N/A
Ashfaq Ahmed,12(2018-),325,27.08
Ashraf Ali,16(1980-1985),69,17.25
Ravichandran Ashwin,111(2010-),675,16.07
Asif Ali,11(2018-),200,28.57
Asif Iqbal,10(1973-1979),330,55
Asif Iqbal,1(2015-2015),8,8
Asif Mahmood,2(1998-1998),14,7
Asif Masood,7(1973-1976),10,5
Mohammad Asif Mujtaba,66(1986-1996),1068,26.05
Asim Butt,5(1999-1999),23,5.75
Asim Saeed,2(2004-2004),12,6
Nathan J Astle,223(1995-2007),7090,34.93
Todd Duncan Astle,9(2017-),79,26.33
Marvan S Atapattu,268(1990-2007),8529,37.57
Ata-Ur-Rehman,30(1992-1996),34,4.86
Athar Ali Khan,19(1988-1998),532,29.56
Michael A Atherton,54(1990-1998),1791,35.12
Charles W J Athey,31(1980-1988),848,31.41
Atiq-Uz-Zaman,3(2000-2000),34,17
James J Atkinson,9(2008-),250,27.78
Ian D Austin,9(1998-1999),34,6.8
Richard A Austin,1(1978-1978),8,8
Kirtivardhan Azad,25(1980-1986),269,14.16
Azam Khan,6(1996-1998),116,23.2
Azeem Hafeez,15(1983-1985),45,15
Azhar Ali,53(2011-),1845,36.9
Azhar Hossain,7(1988-1990),96,13.71
Azhar Mahmood,143(1996-2007),1521,18.11
Azhar Saeed,7(1994-1996),61,8.71
Mohammad Azharuddin,334(1985-2000),9378,36.92
Azmat Rana,2(1978-1978),42,42
Babar Azam,59(2015-),2462,51.29
Babar Hayat,22(2014-),784,39.2
Sheik F A F Bacchus,29(1978-1983),612,26.61
Adam M Bacher,13(1997-2005),270,20.77
Hemang K Badani,40(2000-2004),867,33.35
Subramaniam Badrinath,7(2008-2011),79,15.8
Ashish Bagai,62(2003-2013),1964,37.06
Sairaj V Bahutule,8(1997-2003),23,7.67
Harvir S Baidwan,32(2008-2014),220,14.67
George John Bailey,90(2012-),3044,40.59
Mark D Bailey,1(1998-1998),0,N/A
Robert J Bailey,4(1985-1990),137,68.5
David L Bairstow,21(1979-1984),206,14.71
Jonathan M Bairstow,59(2011-),2118,46.04
Lionel S Baker,10(2008-2009),13,6.5
Paul-Jan Bakker,5(1996-1996),1,N/A
Showkat Baksh,1(1979-1979),0,0
Lakshmipathy Balaji,30(2002-2009),120,12
W Dorakanti Balaji Rao,10(2008-2011),59,7.38
Andrew Balbirnie,52(2010-),1248,27.13
Jacob T Ball,18(2016-),38,9.5
Gary S Ballance,16(2013-2015),297,21.21
C Malinga Bandara,31(2006-2010),160,12.31
Konara Mudiyanselage Chaminda Bandara,1(2016-),1,N/A
M R C Niroshan Bandarathilake,3(1998-1998),0,0
Subroto T Banerjee,6(1991-1992),49,24.5
Sanjay B Bangar,15(2002-2004),180,13.85
Omari A C Banks,5(2003-2005),83,16.6
Eldine A E Baptiste,43(1983-1990),184,15.33
Adrian B Barath,14(2010-2012),394,30.31
Graham D Barlow,6(1976-1977),149,29.8
Geoffrey E F  Barnett,22(2006-2010),455,20.68
Kim J Barnett,1(1988-1988),84,84
Wesley Barresi,30(2010-),866,34.64
Oronde Bascombe,6(2008-2008),65,10.83
Dwight M Basden,2(2007-2007),12,6
Basit Ali,50(1993-1996),1265,34.19
Trevin C Bastiampillai,13(2007-2014),184,14.15
Michael D Bates,2(2012-2012),13,13
Gareth J Batty,10(2002-2009),30,5
Indika P P Batuwitarachchi,2(2008-2008),14,7
Dogodo Bau,10(2016-),170,18.89
Sese Bau,16(2016-),315,19.69
Carlton S Baugh,47(2003-2012),482,20.08
Temba Bavuma,2(2016-),161,80.5
Bazid Khan,5(2004-2008),131,26.2
Graeme R Beard,2(1981-1981),0,N/A
Ronsford Rodwick Beaton,2(2017-),15,15
Atul C Bedade,13(1994-1994),158,22.57
Bishen S Bedi,10(1974-1979),31,6.2
Farhaan Behardien,59(2013-),1074,30.69
Jason Paul Behrendorff,3(2019-),1,N/A
Ian R Bell,161(2004-2015),5416,37.87
Matthew D Bell,7(1998-2001),133,19
Joseph E Benjamin,2(1994-1995),0,0
Kenneth C G Benjamin,26(1992-1996),65,10.83
Winston K M Benjamin,85(1986-1995),298,7.45
Dale M Benkenstein,23(1998-2002),305,17.94
Sulieman J Benn,47(2008-2016),182,7.91
Hamish K Bennett,16(2010-),10,5
Murray J Bennett,8(1984-1985),9,3
Mark R Benson,1(1986-1986),24,24
Andri R Berenger,10(2014-2015),205,20.5
David E Bernard,20(2003-2010),141,14.1
Richard D Berrington,70(2008-),1597,27.07
Carlisle A Best,24(1986-1992),473,24.89
Tino L Best,26(2004-2014),76,9.5
Michael G Bevan,232(1994-2004),6912,53.58
Amit Bhandari,2(2000-2004),0,N/A
Binod Bhandari,3(2019-2019),35,11.67
Lalit Singh Bhandari,1(2018-),4,N/A
Vijay R R Bhardwaj,10(1999-2002),136,27.2
Rustam A Bhatti,1(2011-2011),3,N/A
Umar Bhatti,36(2006-2010),378,17.18
Rajesh L Bhudia,5(2008-2009),122,24.4
Bhupinder Singh,2(1994-1994),6,6
Andrew John Bichel,67(1997-2004),471,20.48
Martin P Bicknell,7(1990-1991),96,24
Bilal Asif,3(2015-2015),40,13.33
Bilawal Bhatti,10(2013-2015),89,14.83
Ian S Billcliff,19(2003-2009),532,28
Samuel William Billings,15(2015-),271,22.58
Roger M H Binny,72(1980-1987),629,16.13
Stuart T R Binny,14(2014-2015),230,28.75
Devendra Bishoo,42(2011-),150,10
Glenn A Bishop,2(1987-1987),13,6.5
Ian R Bishop,84(1988-1997),405,16.2
Marlon I Black,5(2001-2001),4,2
Ian D Blackwell,34(2002-2006),403,14.93
Jermaine Blackwood,2(2015-2015),11,5.5
John A R Blain,33(1999-2009),284,14.95
Tony E Blain,38(1986-1994),442,16.37
Bruce R Blair,14(1982-1986),174,14.5
Donovan L Blake,1(2004-2004),0,0
Glenn Blakeney,2(2009-2009),72,36
Richard J Blakey,3(1992-1993),25,12.5
Gregory Scott Blewett,32(1995-1999),551,20.41
Arnoldus M Blignaut,54(1999-2010),626,18.97
Gulam H Bodi,2(2007-2007),83,41.5
Nico Boje,115(1995-2005),1414,26.68
Scott M Boland,14(2016-),9,3
Douglas E Bollinger,39(2009-2011),50,8.33
Shane E Bond,82(2002-2010),292,16.22
Stephen L Boock,14(1978-1987),30,15
David C Boon,181(1984-1995),5964,37.04
Ravinda S Bopara,120(2007-2015),2695,30.63
Delyone C Borden,12(2006-2008),98,14
Allan R Border,273(1979-1994),6524,30.63
Peter W Borren,58(2006-2014),1004,22.31
Scott G Borthwick,2(2011-2011),18,9
Tertius Bosch,2(1992-1992),0,N/A
Gopalkrishna Bose,1(1974-1974),13,13
Lungile L  Bosman,14(2006-2010),301,25.08
Jayawardene W H D Boteju,2(1999-1999),3,3
Andre C Botha,42(2006-2011),666,19.59
Johan Botha,78(2005-2012),609,19.03
Ian Terence Botham,116(1976-1992),2113,23.22
Mark V Boucher,295(1998-2011),4686,28.57
Trent Alexander Boult,79(2012-),144,9.6
Keith D Boyce,8(1973-1975),57,14.25
Geoffrey Boycott,36(1971-1981),1082,36.07
Brendon P Bracewell,1(1978-1978),0,N/A
Douglas A J Bracewell,19(2011-),158,15.8
John G Bracewell,53(1983-1990),512,16.52
Nathan W Bracken,116(2001-2009),198,11.65
Grant E Bradburn,11(1990-2001),60,8.57
Ian D R Bradshaw,62(2004-2007),287,12.48
David H Brain,23(1992-1995),117,8.36
Eddo A Brandes,59(1987-1999),404,13.03
Carlos Ricardo Brathwaite,33(2011-),389,14.41
Kraigg Clairmonte Brathwaite,10(2016-),278,27.8
Dwayne J J Bravo,164(2004-2014),2968,25.37
Darren M Bravo,102(2009-),2784,32
Jeremy P Bray,15(2006-2007),401,28.64
John M Brearley,25(1977-1980),510,24.29
Gary B Brent,70(1996-2008),408,12
Timothy T Bresnan,85(2006-2015),871,19.8
Gavin A Briant,5(1993-1993),39,13
Danny R Briggs,1(2012-2012),0,N/A
Raymond J Bright,11(1974-1986),66,16.5
James E Brinkley,5(1999-1999),52,10.4
Samuel A Britton,1(2009-2009),0,N/A
Brian C Broad,34(1987-1988),1361,40.03
Stuart C J  Broad,121(2006-2016),529,12.3
Neil Trevor Broom,39(2009-),943,26.94
Alistair D Brown,16(1996-2001),354,22.13
Darryl Brown,3(2001-2002),10,10
Douglas R Brown,25(1997-2007),319,17.72
Robin D Brown,7(1983-1987),110,15.71
Vaughan R Brown,3(1988-1988),44,14.67
Barrington S Browne,4(1994-1994),8,8
Courtney O Browne,46(1995-2005),415,17.29
Patrick A Browne,5(2008-2008),134,33.5
Dean Graham Brownlie,16(2012-),361,25.79
Glen K Bruk-Jackson,1(1993-1993),12,12
Henderson R Bryan,15(1999-1999),43,7.17
Rudi E Bryson,7(1997-1997),32,32
Dylan Evers Budge,1(2018-),11,11
Carl E Bulfin,4(1999-1999),9,9
Jasprit J Bumrah,45(2016-),11,2.75
Andries J Burger,6(2003-2003),199,33.17
Louis J Burger,6(2003-2003),11,2.2
Sarel F Burger,2(2003-2003),11,5.5
Mark G Burgess,26(1973-1981),336,16.8
Ryan Ponsonby Burl,13(2017-),139,15.44
Mark G Burmester,8(1992-1995),109,18.17
Joseph A Burns,6(2015-2015),146,24.33
Iain P Butchart,20(1983-1995),252,18
Alan R Butcher,1(1980-1980),14,14
Roland O Butcher,3(1980-1981),58,19.33
Deighton C Butler,5(2005-2006),25,25
Ian G Butler,26(2002-2010),84,10.5
K Hussain Butt,2(2008-2008),8,4
Joseph C Buttler,127(2012-),3387,40.81
Atse F Buurman,17(2007-2011),140,15.56
Andrew R Caddick,54(1993-2003),249,12.45
Bernard L Cairns,78(1974-1985),987,16.73
Christopher L Cairns,215(1991-2006),4950,29.46
David J Callaghan,29(1992-2000),493,25.95
Ian W Callen,5(1978-1982),6,6
Robert G Callender,2(1979-1979),0,0
Scott James Cameron,2(2018-),9,9
James Cameron-Dow,1(2019-2019),0,N/A
Alistair D R Campbell,188(1992-2003),5185,30.5
Gegory D Campbell,12(1989-1990),6,3
John Dillon Campbell,5(2019-),69,17.25
Ryan J Campbell,2(2002-2002),54,27
Sherwin L Campbell,90(1994-2001),2283,26.24
Lionel O B Cann,26(2006-2009),590,26.82
Tamahau K Canning,4(2003-2005),52,17.33
Peter E Cantrell,5(1996-1996),160,32
David J Capel,23(1987-1990),327,19.24
Michael A Carberry,6(2013-2014),114,19
Alex Tyson Carey,10(2018-),282,31.33
Stuart V Carlisle,111(1995-2005),2740,27.68
Philip H Carlson,4(1979-1979),11,5.5
Kenneth E D Carroll,6(2007-2007),70,11.67
Christopher Carter,11(2015-),114,12.67
Jonathan Lyndon Carter,28(2015-),524,22.78
Neil M Carter,3(2013-2013),0,0
Hilton W R Cartwright,2(2017-),2,1
James J Celestine,8(2007-2008),60,7.5
Yuzvendra S Chahal,40(2016-),34,11.33
Deepak Lokandersingh Chahar,1(2018-),12,12
Regis W Chakabva,34(2008-2015),454,15.13
Stuart J Chalmers,2(2009-2009),9,N/A
Pathira Vasan Dushmantha Chameera,23(2015-),92,13.14
Umagiliya D U Chandana,147(1994-2007),1627,17.31
Shivnarine Chanderpaul,268(1994-2011),8778,41.6
Lokuge Dinesh Chandimal,146(2010-),3599,32.42
Bhagwat S Chandrasekhar,1(1976-1976),11,N/A
Vakkadai B Chandrasekhar,7(1988-1990),88,12.57
Mark S Chapman,5(2015-),160,40
Christopher J D Chappell,3(1979-1979),38,12.67
Gregory S Chappell,74(1971-1983),2331,40.19
Ian M Chappell,16(1971-1980),673,48.07
Trevor M Chappell,20(1980-1983),229,17.62
Glen Chapple,1(2006-2006),14,14
Brian B Chari,10(2015-),131,13.1
Johnson Charles,48(2012-),1330,27.71
Peter K D Chase,25(2015-),35,3.5
Roston L Chase,11(2017-),117,14.63
Tendai Larry Chatara,62(2013-),159,6.63
Ewen J Chatfield,114(1979-1989),118,10.73
Sewnarine Chattergoon,18(2006-2009),370,24.67
Utpal Chatterjee,3(1995-1995),6,6
Chetandra P S Chauhan,7(1978-1981),153,21.86
Rajesh K Chauhan,35(1993-1997),132,10.15
Piyush Pramod Chawla,25(2007-2011),38,5.43
Manoj Cheruparambil,2(2004-2004),30,15
C Justice Chibhabha,103(2005-),2389,23.65
Elton Chigumbura,213(2004-),4340,25.23
Michael T Chinouya,2(2013-2013),6,6
Chirag Suri,8(2018-),138,17.25
Tendai S Chisoro,18(2015-),134,16.75
Nikhil Chopra,39(1998-2000),310,15.5
Daniel T Christian,19(2012-2014),273,21
Kyle Christie,1(2016-),0,0
Dipak N Chudasama,20(1996-1999),434,22.84
Desmond R Chumney,21(2003-2007),397,20.89
Stuart R Clark,39(2005-2009),69,13.8
Wayne M Clark,2(1978-1978),0,N/A
Michael J Clarke,245(2003-2015),7981,44.59
Nolan E Clarke,5(1996-1996),50,10
Rikki Clarke,20(2003-2006),144,11.08
Sylvester T Clarke,10(1978-1982),60,10
D Brian Close,3(1972-1972),49,16.33
Austin Codrington,9(2003-2007),47,5.88
George R Codrington,17(2006-2007),236,19.67
Kyle James Coetzer,50(2008-),1969,42.8
Freddie R J Coleman,16(2013-2015),211,15.07
David J Colley,1(1972-1972),0,N/A
Richard O Collinge,15(1973-1978),34,5.67
Paul D Collingwood,197(2001-2011),5092,35.36
Pedro T Collins,30(1999-2005),30,4.29
Corey D Collymore,84(1999-2007),104,5.78
Peter G Coman,3(1973-1974),62,20.67
Jeremy V Coney,88(1979-1987),1874,30.72
Bevan E Congdon,11(1973-1978),338,56.33
Peter Connell,13(2008-2010),40,20
Alan N Connolly,1(1971-1971),0,N/A
Alastair N Cook,92(2006-2014),3204,36.41
Geoffrey Cook,6(1981-1983),106,17.67
Nicholas G B Cook,3(1984-1989),0,N/A
Stephen J Cook,4(1991-1993),67,16.75
Benjamin N Cooper,6(2013-),116,29
Tom L W Cooper,23(2010-2013),976,48.8
Geoffrey A Cope,2(1977-1978),1,N/A
Dominic G Cork,32(1992-2002),180,10
Mark J Cosgrove,3(2006-2006),112,37.33
Garry J Cosier,9(1975-1979),154,30.8
Sheldon S Cottrell,10(2015-),14,7
Nathan M Coulter-Nile,23(2013-),148,13.45
Charles K Coventry,39(2003-2015),829,24.38
Norman G Cowans,23(1983-1985),13,2.6
Christopher S Cowdrey,3(1985-1985),51,25.5
Michael C Cowdrey,1(1971-1971),1,1
Royston T Crandon,1(2009-2009),5,5
John P Crawley,13(1994-1999),235,21.36
Alexander Graeme Cremer,96(2009-),744,14.59
Gary J Crocker,6(1992-1993),98,24.5
Fiqre S Crockwell,2(2009-2009),68,34
Colin E H Croft,19(1977-1981),18,9
Robert D B Croft,50(1996-2001),345,14.38
Wessel J Cronje,188(1992-2000),5565,38.65
Derek N Crookes,32(1994-2000),296,14.8
Matthew Henry Cross,43(2014-),865,22.76
Jeffrey J Crowe,75(1983-1990),1518,25.73
Martin D Crowe,143(1982-1995),4704,38.56
Cameron E Cuffy,41(1994-2002),62,4.43
Daniel J Cullen,5(2006-2006),2,N/A
Daryll J Cullinan,138(1993-2000),3860,32.99
Craig D Cumming,13(2003-2009),161,13.42
Anderson Cleophas Cummins,76(1991-2007),486,13.5
Miguel L Cummins,11(2014-),10,5
Patrick J Cummins,43(2011-),166,11.86
Kevin M Curran,11(1983-1987),287,26.09
Samuel Matthew Curran,2(2018-),17,8.5
Thomas Kevin Curran,13(2017-),71,23.67
Alex R Cusack,59(2007-2015),745,22.58
Benjamin C J Cutting,4(2013-2014),53,26.5
Keith M Dabengwa,37(2005-2010),514,19.04
Damodar Daesrath,4(2012-2013),95,31.67
Vijay Dahiya,19(2000-2001),216,16.62
Mahuru D Dai,18(2014-),453,28.31
Carl Junior Dala,2(2018-),8,8
Adam C Dale,30(1997-2000),78,19.5
Anil Dalpat,15(1984-1986),87,12.43
James W M Dalrymple,27(2006-2007),487,19.48
Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya,30(2012-),276,15.33
Wayne W Daniel,18(1978-1984),49,49
Warrick M Darling,18(1978-1982),363,21.35
Shiv S Das,4(2001-2002),39,13
Deep Dasgupta,5(2001-2001),51,17
Pubudu B Dassanayake,16(1993-1994),85,10.63
Joshua H Davey,29(2010-),471,22.43
Noel A David,4(1997-1997),9,N/A
Ramesh R David,4(2008-2010),82,27.33
Henry Davids,2(2013-2013),8,4
Alec G Davies,5(1999-1999),83,20.75
Sean G Davies,4(1996-1996),67,16.75
Steven M Davies,8(2009-2011),244,30.5
Heath Te-Ihi-O-Te-Ra Davis,11(1994-1997),13,6.5
Ian C Davis,3(1974-1977),12,6
Simon P Davis,39(1986-1988),20,5
Winston W Davis,35(1983-1988),28,14
John M Davison,32(2003-2011),799,26.63
Dawlat Ahmadzai,3(2009-2010),0,N/A
Dawlat Zadran,73(2011-),500,20.83
Jawad J Dawood,2(2009-2010),25,N/A
Alan C Dawson,19(1998-2004),69,23
Liam A Dawson,3(2016-),14,7
Ronald G De Alwis,31(1983-1988),401,21.11
Phillip A J De Freitas,103(1987-1997),690,16.05
Colin de Grandhomme,28(2012-),443,29.53
Richard P De Groen,12(1993-1994),12,2.4
Nicholas A De Groot,6(2003-2003),44,7.33
Tom N de Grooth,34(2006-2013),480,17.14
Quinton de Kock,101(2013-),4249,44.26
Con de Wet de Lange,13(2016-),123,20.5
Marchant de Lange,4(2012-2016),0,N/A
Bas de Leede,2(2018-),30,15
Timotheus B M de Leede,29(1996-2007),400,16.67
Ashantha L F De Mel,57(1982-1987),466,14.56
Samantha I De Saram,15(1999-2001),183,16.64
Ashley M de Silva,4(1986-1993),12,6
Deva L S De Silva,2(1979-1979),10,10
